id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
87,PET,UP,"DR,TD","Distribution, Tariff",TRF,"UPERC Tariff Order for (DVVNL, MVVNL, PVVNL, PuVVNL, KESCO)  True-up  (FY 19),  APR (FY20),ARR & Tariff  (FY 21 )
",11/11/2020,0000-00-00,0000-00-00,0000-00-00
88,TR-TUP,ML,TD,Tariff,TRF,MSERC Tariff Order for (MePGCL) ARR (FY 22 to FY 24) & Generation Tariff (FY 22),25/03/2021,0000-00-00,0000-00-00,0000-00-00
89,TR-TUP,ML,TD,Tariff,TRF,MSERC Tariff Order for (MePDCL) ARR (FY 22 to FY 24) & Distribution Tariff (FY 22),25/03/2021,0000-00-00,0000-00-00,0000-00-00
96,PET,ML,"GN,TD","Generation, Tariff",PET,"MSERC Review Petition for (MePGCL), TrueUp of FY 18 of 1st MYT FY 16 to FY 18",05/10/2021,0000-00-00,0000-00-00,0000-00-00
97,GZT-FIN,DL,CS,Others,REG,"DERC (Forum for Redressal of Grievances of the Consumers and Ombudsman) Regulations, 2018",0000-00-00,08/03/2018,09/03/2018,0000-00-00
98,PET,UP,CB,Others,ORD,UPERC Tariff Order for (UPPTCL)  Business Plan (FY 21 to FY 25),15/10/2020,0000-00-00,0000-00-00,0000-00-00
99,GZT-FIN,DL,OTH,Others,REG,"DERC (Power System Development Fund) Regulations, 2019",0000-00-00,02/06/2020,03/06/2020,0000-00-00
100,GZT-FIN,DL,RE,Renewables,GU,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) Guidelines, 2019",0000-00-00,31/05/2019,0000-00-00,0000-00-00
101,AMN,DL,RE,Renewables,GU,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) (1st Amd) Guidelines, 2020",0000-00-00,19/10/2020,0000-00-00,0000-00-00
102,AMN,DL,RE,Renewables,GU,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) (2nd Amd) Guidelines, 2020",0000-00-00,24/12/2020,0000-00-00,0000-00-00
103,AMN,DL,RE,Renewables,GU,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) (3rd Amd) Guidelines, 2021",0000-00-00,28/09/2021,0000-00-00,0000-00-00
104,AMN,DL,RE,Renewables,GU,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) (4th Amd) Guidelines, 2022",0000-00-00,24/02/2022,0000-00-00,0000-00-00
105,GZT-FIN,DL,RE,Renewables,REG,"DERC (Net Metering for Renewable Energy) Regulations, 2014",0000-00-00,25/09/2014,25/09/2014,0000-00-00
106,TR-TUP,GJ,"DR,TD","Distribution,",TRF,"GERC Tariff Order for (DGVCL) True-up (FY 20), ARR & Tariff (FY 22)",31/03/2021,0000-00-00,0000-00-00,0000-00-00
109,TR-TUP,GJ,"TD,TR","Transmission,",TRF,"GERC Tariff Order for (GETCO) True-up (FY 19), ARR & Tariff (FY 21)",26/03/2020,0000-00-00,0000-00-00,0000-00-00
111,TR-TUP,GJ,"DR,TD","Distribution,",TRF,"GERC Tariff Order for (MGVCL) True-up (FY 20), ARR & Tariff (FY 22) ",31/03/2021,0000-00-00,0000-00-00,0000-00-00
112,PET,UP,TD,Tariff,TRF,"UPERC Tariff Order for (NPCL) True-up (FY 18), APR (FY 19), ARR & Tariff (FY 20) ",03/09/2019,0000-00-00,0000-00-00,0000-00-00
113,TR-TUP,GJ,"DR,TD","Distribution,",TRF,"GERC Tariff Order for (MGVCL) True-up (FY 19), ARR & Tariff (FY 21)",31/03/2020,0000-00-00,0000-00-00,0000-00-00
115,TR-TUP,GJ,"DR,TD","Distribution,","TRF,ORD","GERC Tariff Order for (PGVCL) True-up (FY 19), ARR & Tariff (FY 21)",31/03/2020,0000-00-00,0000-00-00,0000-00-00
116,TR-TUP,HR,"GN,TD", TD ,TRF,"HERC Tariff Order for (HPGCL) True-up (FY 21), MTR (FY 22), Tariff (FY 23)",22/02/2022,0000-00-00,0000-00-00,0000-00-00
117,TR-TUP,RJ,TD,Tariff,TRF,RERC Tariff Order for (RRVPNL) Add. Exp. (FY 19),11/09/2020,0000-00-00,0000-00-00,0000-00-00
118,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (JVVNL, JdVVNL, AVVNL) True-up (FY 19)), 2021",27/01/2021,0000-00-00,0000-00-00,0000-00-00
119,TR-TUP,RJ,TD,Tariff,TRF,RERC Tariff Order for (RRVUNL(CTPP (Units 3&4))) APR (FY 14 to FY 18),27/05/2020,0000-00-00,0000-00-00,0000-00-00
120,TR-TUP,PB,RE,Renewables,ORD,"PSERC Tariff Order for (PSPCL) True-up (FY 19), APR (FY 20), ARR (FY 21 to FY 23), Tariff (FY 21)",01/06/2020,0000-00-00,0000-00-00,0000-00-00
121,GZT-FIN,DL,OTH,Others,REG,"DERC (Appointment of Consultants) Regulations, 2001",0000-00-00,06/08/2001,0000-00-00,0000-00-00
122,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (GLPL (Units 1&2)) APR (FY 19), ARR & Tariff (FY 21)",17/08/2020,0000-00-00,0000-00-00,0000-00-00
123,AMN,DL,OTH,Others,REG,"DERC (Appointment of Consultants) (Amd) Regulations, 2014",0000-00-00,12/02/2014,12/02/2014,0000-00-00
124,TR-TUP,RJ,TD,Tariff,TRF,RERC Tariff Order for (CSCTPP (Units 5&6)) ARR & Tariff (FY 20),06/01/2020,0000-00-00,0000-00-00,0000-00-00
126,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (DCCPP) ARR & Tariff (FY 21)), 2021",22/11/2021,0000-00-00,0000-00-00,0000-00-00
127,GZT-FIN,DL,RE,Renewables,REG,"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation) Regulations, 2012",0000-00-00,01/08/2012,01/08/2012,0000-00-00
128,GZT-FIN,DL,RE,Renewables,REG,"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation) Regulations, 2021",0000-00-00,13/04/2021,20/04/2021,0000-00-00
129,TR-TUP,PB,TD,Tariff,TRF,"PSERC Tariff Order for (PSPCL) True-up (FY 20), APR (FY 21), Revised Estimates (FY 22), Tariff (FY 22)",28/05/2021,0000-00-00,0000-00-00,0000-00-00
