Title,type,ERC
Order dated 11/05/23 for Petition Number 1540 of 2019 - Greentech Pvt Ltd vs UPPCL -Petition under Section 86 (1) b and 86 (1) f of EA 2003 read with regulation 12 of PPA dated 03.12.2015 between petitioner and respondent seeking approval of Change in Law events due to promulagtion of GST Laws and safeguard duty in Petition no 1540/2019,Public Notice,GERC
"Order dated 11/05/23 for Petition Number 1701 of 2021 -Bajaj Energy vs UPPCL - Direction to UPPCL to enhance, establish and operationalize  activate the Escrow mechanism to an amount of Rs. 149 Crore to fulfil its obligation
 in Petition no 1701/2021",Public Notice,GERC
Order dated 11/05/23 for Petition Number - 1537 of 2019 - UPPCL - Seeking approval of amended power purchase agreement between Ecogreen Energy System Lucknow and UPPCL in terms of Regulations 5 of UPERC CRE Regulation 2019 in Petition no 1537/2019,Public Notice,GERC
Order dated 10/05/23 for 1909 to 1917 of 2022 - UPRVUNL vs UPPCL and ors - Review of order dated 05.06.2022 in Petition No. 1520 of 2019 and 1723  of 2021 in the matter of Truing up of Tariff for 2 110 MW parichha TPS for FY 2018-19,Public Notice,GERC
"Order dated 10/05/23 for Petition Number 1832 of 2022 - Amplus Green Power Private Limited vs UPPCL and ors - Seeking directions that the Petitioner should be allowed to bank 100 percent  of the energy generated as well as utilize the banking facility in terms of drawl of such banked energy for the Petitioners auxiliary energy consumption
 in Petition no 1832/2022",Public Notice,GERC
Order dated 10/05/23 for 1925 of 2022- NPCL- Seeking approval of additional Capital expenditure (Capex) and addition Operation & Maintenance Expenses (O & M) Expenses) on account of Pilot Project implementation of mutual sale and purchase of electricity through peer to peer transaction in a secure and reliable way with proper accounting and billing mechanism using emerging Blockchain Technology,Public Notice,GERC
Order dated 10/05/23 for 1881 of 2022- Dwarikesh Sugar Industries Ltd vs UPPCL - Necessary direction to the Respondent to make payment of the unpaid bills dated 15.005.2021 & 13.01.2022 are raised by the petitioner towards settlement of account of unused banked energy  in Petition no 1881/2022,Public Notice,GERC
Order dated 10/05/23 for 1882 of 2022 - Lalganj Power Private Limited vs UPSLDC UPPCL   UPPPTCL - Seeking necessary orders and directions in relation to declaration of Commercial Operation Date in Petition no 1882/2022,Public Notice,GERC
Order dated 10/05/23 for Petition Number 1890 of 2022 - Saharasdhara Energy Pvt. Ltd. vs UPPCL UPNEDA - Increase in cost of project of setting up solar plant on account of change in law in Petition no 1890/2022,Public Notice,GERC
"Order dated 10/05/23 for Petition Number 1899 of 2022 - UPPCL vs SAEL - Seeking approval of Amended PPA dated 01.10.2022 signed between SAEL Agri Commodities Limited and UPPCL for transfer of 15 MW Biomass Power Project at Village Fatheullapur, Distt Gazipur owned by SAEL Limited in Petition no 1899/2022",Public Notice,GERC
"Order dated 09/05/23 for Petition under Section 142 of EA 2003 in relation to contravention of directions given by UPERC in its order dated 10.04.2019 in Petition No. 1432 of 2019
 in Petition no 1496/2019",Public Notice,GERC
"Order dated 09/05/23 for Petition Number 1803 of 2021 - Rosa Power Supply Company Ltd vs UPPCL - Direction to UPPCL to make outstanding payments on 14.12.2021
 in Petition no 1803/2021",Public Notice,GERC
Order dated 09/05/23 for Petition Number 1920 of 2022 - Obra-C Badaun Transmission Limited vs UPPCL and ors - Seeking Extension of the Scheduled Date of Commissioning of the Project and other consequential reliefs along with direction for payment of outstanding transmission charges with LPS in Petition no 1920/2022,Public Notice,GERC
"Order dated 09/05/23 for-suomoto proceeding on 59 SM 2022 - UPSLDC - In the matter of: Suo-moto Proceeding under Section 142 of the Electricity Act, 2003 for non-compliance of the DSM framework on State owned Distribution Licensees (MVVNL, PVVNL, PuVVNL, DVVNL and KESCO) in the State of Uttar Pradesh.",Public Notice,GERC
"Order dated 09/05/23 for-suomoto proceeding on 60 SM 2022 - In the matter of Suo-moto Proceeding under Section 142 of the Electricity Act, 2003 for non-compliance of the DSM framework on State owned Distribution Licensees (MVVNL, PVVNL, PuVVNL, DVVNL and KESCO) in the State of Uttar Pradesh.",Public Notice,GERC
"Order dated 09/05/23 for-suomoto proceeding on 61 SM 2022 - UPPTCL - In the matter of  Suo-moto Proceeding under Section 142 of the Electricity Act, 2003 for non-compliance of the DSM framework on State owned Distribution Licensees  MVVNL, PVVNL, PuVVNL, DVVNL and KESCO in the State of Uttar Pradesh.",Public Notice,GERC
Order dated 09/05/23 for 1859 of 2022- RPSCL vs UPPCL - Non compliance of Commissions Order dated 08.06.2022 passed in Petition No. 1803 of 2021 in Petition no 1859/2022,Public Notice,GERC
